sim_id,final_balance,total_return_pct,total_trades,win_rate,max_drawdown_pct,sharpe_ratio
1816,3084053.632128211,308305.36321282113,1205,0.5659751037344398,15.924986574528452,13.323102472384992
1817,27072560.231881585,2707156.0231881584,1335,0.5932584269662922,12.732601393373255,16.17839670965022
1818,10314941.654753303,1031394.1654753303,1319,0.5754359363153905,10.322885840960923,14.67235312847913
1819,17644835.548592977,1764383.5548592978,1248,0.5985576923076923,7.515165383468782,16.057313801977298
1820,7759283.940959966,775828.3940959965,1232,0.5827922077922078,7.977764603481127,14.737749491787296
1821,14396088.401988704,1439508.8401988703,1334,0.5802098950524738,9.547895527284089,15.131339795232455
1822,4474346.27465432,447334.627465432,1254,0.5669856459330144,8.76620774132655,13.667227911437148
1823,18133165.518350575,1813216.5518350576,1296,0.5910493827160493,9.676608450129153,15.765144920813912
1824,12661487.829228533,1266048.7829228535,1275,0.5866666666666667,9.676608450129129,15.293964216422653
1825,34197576.349498205,3419657.63494982,1281,0.6073380171740828,15.502338336680646,16.973288298823192
1826,6727868.435208259,672686.843520826,1253,0.5762170790103751,10.45049595620371,14.35997915615594
1827,10907318.278480615,1090631.8278480617,1257,0.5863166268894192,10.77144114448653,15.158528371035626
1828,9033958.93509023,903295.8935090231,1334,0.5704647676161919,14.893387783094491,14.36689757760054
1829,25708728.755724482,2570772.875572448,1273,0.6025137470542027,10.898412967624239,16.53268114092995
1830,9545680.507870162,954468.0507870162,1251,0.5843325339728217,10.898412967624214,14.96937070330203
1831,32899689.859747563,3289868.985974756,1297,0.6037008481110254,11.535948164190264,16.783739721943693
1832,7687561.122337723,768656.1122337723,1259,0.5782366957903098,10.77144114448651,14.5486313216507
1833,8419967.720530037,841896.7720530038,1226,0.5856443719412724,10.00032724920964,14.919092982470472
1834,23673877.29642335,2367287.729642335,1258,0.6033386327503975,7.846630788847106,16.500623983295032
1835,9196483.791983943,919548.3791983943,1259,0.5822081016679904,13.84913129440738,14.853392778635909
1836,27267664.453888156,2726666.4453888154,1345,0.59182156133829,12.418710280079514,16.12272069919042
1837,12770908.50490939,1276990.850490939,1277,0.586530931871574,11.978435860125023,15.295363266845179
1838,20540984.224800184,2053998.4224800183,1250,0.6016,9.54789552728411,16.31028398310479
1839,54226352.384536825,5422535.2384536825,1334,0.6079460269865068,9.093189414166327,17.371097474700374
1840,11354456.89485009,1135345.689485009,1283,0.583008573655495,11.978435860125067,15.05652673563829
1841,9628760.021451466,962776.0021451466,1303,0.5763622409823485,12.418710280079512,14.65495690020579
1842,9164081.022902738,916308.1022902738,1304,0.5751533742331288,11.535948164190234,14.566773790203522
1843,8317907.160273277,831690.7160273277,1219,0.5865463494667761,13.603422386120856,14.945152635833939
1844,25837967.4969772,2583696.7496977197,1270,0.6031496062992125,11.978435860125062,16.56401582870718
1845,2662863.266640147,266186.3266640147,1300,0.5492307692307692,12.478384557928269,12.570960267865068
1846,17097503.591524094,1709650.3591524095,1274,0.5934065934065934,11.535948164190257,15.816128763144437
1847,7084346.584400955,708334.6584400954,1265,0.5754940711462451,12.103690135411156,14.373312007782275
1848,17073173.92364686,1707217.3923646861,1282,0.5920436817472698,9.547895527284085,15.758110394909133
1849,6068191.636207008,606719.1636207008,1279,0.5699765441751369,12.732601393373239,14.030375383337436
1850,20764696.34335217,2076369.634335217,1315,0.5908745247148289,12.98078688674393,15.866345453801086
1851,16354188.773271319,1635318.8773271318,1272,0.5927672955974843,11.344089546210816,15.753405833839494
1852,8235405.625189772,823440.5625189773,1275,0.5772549019607843,11.978435860125028,14.565238585625487
1853,5105311.481459871,510431.1481459871,1268,0.5678233438485805,13.913067494325102,13.806686065478392
1854,23570090.02930115,2356909.002930115,1182,0.6175972927241963,8.438049951827447,17.10947949183113
1855,22936737.662334472,2293573.766233447,1184,0.6165540540540541,7.977764603481126,17.041271329511403
1856,4149893.908457295,414889.3908457295,1249,0.566052842273819,12.732601393373258,13.569991703779896
1857,13410150.18231045,1340915.018231045,1355,0.5756457564575646,10.322885840960934,14.887826323006564
1858,9865298.831607142,986429.8831607143,1217,0.590797041906327,10.32288584096093,15.257740482197669
1859,6674772.219646458,667377.2219646458,1222,0.5810147299509002,10.771441144486529,14.543099860423748
1860,14518733.145613356,1451773.3145613356,1236,0.5962783171521036,11.535948164190263,15.80185428842786
1861,8130038.938723974,812903.8938723974,1297,0.5736314572089437,11.661832097404151,14.41006801161391
1862,5767125.546423583,576612.5546423583,1288,0.5675465838509317,15.077565430329349,13.89403459887668
1863,32642031.554552305,3264103.1554552303,1316,0.6003039513677811,10.89841296762422,16.630224718529092
